,name,sub_category,main_category,deadline,launched,status,pledged_usd,goal_usd,duration,year,quarter,profit
3130,PHASE,performances,dance,13/02/2016,14/01/2016,successful,3785,3000,30,2016,Q2,0.261666667
1393,Philip Elson to dance in Germany,dance,dance,20/02/2011,16/01/2011,successful,1725,1500,35,2011,Q3,0.15
2966,Phoenix Contemporary Dance Company's Fall Show,dance,dance,19/08/2013,20/07/2013,failed,150,20000,30,2013,Q2,NA
929,Pick a Card: A Burlesque Exploration of Tarot,performances,dance,17/07/2014,17/06/2014,failed,5347,8000,30,2014,Q2,NA
1509,PINK HAIR AFFAIR moves to the stage!,dance,dance,18/07/2012,18/06/2012,successful,3608,3200,30,2012,Q2,0.1275
491,Piso Flotado / Sprung Floor - MTYIBG,dance,dance,11/08/2017,12/07/2017,successful,3000.83,2778.55,30,2017,Q2,0.07999856
760,Plastic Flow is NOW,performances,dance,13/08/2016,19/07/2016,successful,4000.42,4000,25,2016,Q2,0.000105
395,Plastic Identities,residencies,dance,20/07/2017,20/06/2017,successful,7106.99,6500,30,2017,Q2,0.093383077
2615,Platforms and Trains,dance,dance,30/01/2014,31/12/2013,successful,232.25,223.31,30,2013,Q2,0.040034033
3970,Playroom: Your Mindfulness Playground,spaces,dance,08/08/2018,09/07/2018,failed,897,12000,30,2018,Q2,NA
1621,Plus Size Burlesque,dance,dance,07/03/2015,21/01/2015,successful,2206,1500,45,2015,Q3,0.470666667
3216,PMCD at The International Choreographer¥s Encounter,dance,dance,29/11/2013,30/10/2013,successful,1731,1500,30,2013,Q2,0.154
3881,PMCD at The International Choreographer'¥s Encounter,dance,dance,29/11/2013,30/10/2013,successful,1731,1500,30,2013,Q2,0.154
1172,"PND GERMAN TOUR OF ""CIRCUITS""",dance,dance,10/10/2010,07/09/2010,successful,2650,2500,33,2010,Q3,0.06
2806,Poetic transformations of existential delight,performances,dance,24/05/2016,09/04/2016,failed,856.88,6591.38,45,2016,Q3,NA
3250,Poetry+Motion: Freedom! (Canceled),dance,dance,18/07/2011,18/06/2011,canceled,100,2500,30,2011,Q2,NA
226,Poil de carotte,performances,dance,24/11/2015,25/09/2015,failed,272.96,40203.98,60,2015,Q4,NA
3306,"Point Your Damn Toes Dance Co. ""Welcome to The Mad House""",dance,dance,30/03/2014,28/02/2014,successful,5466,5000,30,2014,Q2,0.0932
2158,Pointe shoes and lessons,dance,dance,18/09/2014,19/08/2014,failed,8.17,817.03,30,2014,Q2,NA
312,Polar Ball presented by North High School Class of 1998,dance,dance,13/12/2017,13/11/2017,failed,591,2500,30,2017,Q2,NA
3739,"Pole dance fitness studio opening in Spokane, Washington!",dance,dance,29/09/2018,23/08/2018,successful,3273,3271,37,2018,Q3,0.000611434
1585,"Pole dance, aerial & yoga studio",residencies,dance,26/02/2015,27/01/2015,failed,0,30887.55,30,2015,Q2,NA
3,Pole Diversity: A Showcase of Acrobatic Dance (Part Two),performances,dance,19/09/2015,19/08/2015,failed,160,450,31,2015,Q3,NA
2369,Pole Diversity: A Showcase of Acrobatic Pole Dance,performances,dance,07/03/2015,12/02/2015,successful,470,450,23,2015,Q2,0.044444444
